sale_type,sold_date,property_type,address,city,state_or_province,zip_code,price,beds,baths,location,sq_feet,lot_size,yr_built,days_on_mkt,price_per_sq_foot,hoa_per_month,status,next_open_house_start_time,next_open_house_end_time,url,source,mls_num,favorite,interested,latitude,longitude
MLS Listing,,Single Family Residential,1238 43rd Ave,San Francisco,CA,94122,1995000,4,4.5,Outer Sunset,2668,3000,1912,3,748,,Active,April-28-2019 02:00 PM,April-28-2019 04:30 PM,http://www.redfin.com/CA/San-Francisco/1238-43rd-Ave-94122/home/1128913,San Francisco MLS,483938,N,Y,37.7635402,-122.5026528
MLS Listing,,Condo/Co-op,2295 Vallejo St,San Francisco,CA,94123,1598000,2,2.0,Pacific Heights,1075,,1975,3,1487,632,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/2295-Vallejo-St-94123/home/39544872,San Francisco MLS,483121,N,Y,37.7949912,-122.4347802
MLS Listing,,Single Family Residential,633 Rockdale Dr,San Francisco,CA,94127,998000,2,1.0,Miraloma Park,1150,3197,1930,3,868,,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/633-Rockdale-Dr-94127/home/684654,San Francisco MLS,484016,N,Y,37.740715,-122.4504946
MLS Listing,,Single Family Residential,35 Rockwood Ct,San Francisco,CA,94127,2795000,3,3.0,Forest Hill Extension,3018,,1931,4,926,,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/35-Rockwood-Ct-94127/home/1156714,San Francisco MLS,484021,N,Y,37.7426848,-122.4570075
MLS Listing,,Multi-Family (5+ Unit),1155 Pine St,SAN FRANCISCO,CA,94109,1700000,5,,SAN FRANCISCO,2627,5169,1900,4,647,1264,Active,April-30-2019 09:30 AM,April-30-2019 11:00 AM,http://www.redfin.com/CA/San-Francisco/1155-Pine-St-94109/unit-17/home/1707631,MLSListings,ML81748642,N,Y,37.7900583,-122.414851
MLS Listing,,Condo/Co-op,318 Main St Unit 8I,San Francisco,CA,94105,1479900,1,1.5,South Beach,938,,2015,4,1578,1047,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/318-Main-St-94105/unit-8I/home/101628310,San Francisco MLS,483817,N,Y,37.7891933,-122.3917702
MLS Listing,,Single Family Residential,445 Duncan St,San Francisco,CA,94131,1695000,4,2.0,Noe Valley,2200,3419,1900,4,770,,Active,April-28-2019 01:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/445-Duncan-St-94131/home/803782,San Francisco MLS,484011,N,Y,37.745667,-122.430117
MLS Listing,,Single Family Residential,1524 Bacon St,San Francisco,CA,94134,929000,2,1.0,Portola,1178,2495,1959,4,789,,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/1524-Bacon-St-94134/home/772633,San Francisco MLS,484010,N,Y,37.724088,-122.4179462
MLS Listing,,Multi-Family (2-4 Unit),923 Vermont St,San Francisco,CA,94107,1990000,5,4.0,San Francisco,2430,2470,1958,4,819,,Active,April-28-2019 01:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/923-Vermont-St-94107/home/1784005,Bridge MLS,40862488,N,Y,37.7579716,-122.4035441
MLS Listing,,Condo/Co-op,403 Main St Unit 710N,San Francisco,CA,94105,1075000,1,1.0,South Beach,941,,1997,4,1142,541,Active,April-28-2019 02:00 PM,April-28-2019 04:00 PM,http://www.redfin.com/CA/San-Francisco/403-Main-St-94105/unit-710N/home/725974,San Francisco MLS,483997,N,Y,37.7880767,-122.3896032
